Manu antbird
Rio de Janeiro antbird
Grey antbird
Mato Grosso antbird
Bananal antbird
Jet antbird
Rio Branco antbird
Ferruginous-backed antbird
Cordillera Azul antbird
Scalloped antbird
White-bibbed antbird
Squamate antbird
Black-chinned antbird
Band-tailed antbird
Spotted antbird
Spot-backed antbird
Dot-backed antbird
Silvered antbird
Plumbeous antbird
Slate-colored antbird
Spot-winged antbird
Humaita antbird
Brownish-headed antbird
Rufous-faced antbird
Roraiman antbird
Caura antbird
Chestnut-backed antbird
Grey-headed antbird
Dull-mantled antbird
Magdalena antbird
Esmeraldas antbird
Stub-tailed antbird
White-bellied antbird
White-browed antbird
Ash-breasted antbird
Black-tailed antbird
Black-faced antbird
White-lined antbird
Bare-crowned antbird
Fringe-backed fire-eye
White-backed fire-eye
White-shouldered fire-eye
Slender antbird
Allpahuayo antbird
Black-headed antbird
White-shouldered antbird
Goeldi's antbird
Sooty antbird
Blue-lored antbird
Zeledon's antbird
Formicariidae ground antbirds
Rufous-capped antthrush
Black-headed antthrush
Black-faced antthrush
Mayan antthrush
Rufous-fronted antthrush
Rufous-breasted antthrush
Short-tailed antthrush
Cryptic antthrush
Barred antthrush
Striated antthrush
Rufous-tailed antthrush
Schwartz's antthrush
Grallariidae antpittas
Undulated antpitta
Giant antpitta
Great antpitta
Variegated antpitta
Scaled antpitta
Moustached antpitta
Táchira antpitta
Plain-backed antpitta
Ochre-striped antpitta
Elusive antpitta
Santa Marta antpitta
Chestnut-crowned antpitta
Cundinamarca antpitta
Watkins's antpitta
Stripe-headed antpitta
Bicolored antpitta
Chestnut-naped antpitta
Jocotoco antpitta
Pale-billed antpitta
Yellow-breasted antpitta
White-bellied antpitta
Rusty-tinged antpitta
Bay antpitta
Red-and-white antpitta
White-throated antpitta
Grey-naped antpitta
Rufous antpitta
Chestnut antpitta
Rufous-faced antpitta
Tawny antpitta
Brown-banded antpitta
Fenwick's antpitta
Masked antpitta
Amazonian antpitta
Thicket antpitta
White-lored antpitta
Spotted antpitta
Speckle-breasted antpitta
White-browed antpitta
Streak-chested antpitta
Snethlage's antpitta
Alta Floresta antpitta
Thrush-like antpitta
Tapajos antpitta
Tepui antpitta
Ochre-breasted antpitta
Rusty-breasted antpitta
Rufous-breasted antpitta
Scallop-breasted antpitta
Hooded antpitta
Peruvian antpitta
Ochre-fronted antpitta
Slaty-crowned antpitta
Crescent-faced antpitta
Sucre antpitta
Promeropidae sugarbirds
Gurney's sugarbird
Cape sugarbird
Rhinocryptidae tapaculos
Ocellated tapaculo
White-breasted tapaculo
Bahia tapaculo
Ochre-flanked tapaculo
Rusty-belted tapaculo
Stresemann's bristlefront
Slaty bristlefront
Ash-colored tapaculo
Spotted bamboowren
Chestnut-throated huet-huet
Black-throated huet-huet
Moustached turca
Crested gallito
White-throated tapaculo
Chucao tapaculo
Blackish tapaculo
Unicolored tapaculo
Trilling tapaculo
Mouse-coloured tapaculo
Planalto tapaculo
Rock tapaculo
Diamantina tapaculo
Brasília tapaculo
Marsh tapaculo
Large-footed tapaculo
Santa Marta tapaculo
Long-tailed tapaculo
Rufous-vented tapaculo
Northern white-crowned tapaculo
Bolivian white-crowned tapaculo
Tacarcuna tapaculo
Silvery-fronted tapaculo
Chocó tapaculo
Upper Magdalena tapaculo
Stiles's tapaculo
El Oro tapaculo
Tatama tapaculo
Nariño tapaculo
Brown-rumped tapaculo
Mérida tapaculo
Perijá tapaculo
Caracas tapaculo
Spillmann's tapaculo
Chusquea tapaculo
Magellanic tapaculo
White-winged tapaculo
Jalca tapaculo
Ampay tapaculo
Pale-bellied tapaculo
Ancash tapaculo
Tschudi's tapaculo
Vilcabamba tapaculo
Puna tapaculo
Zimmer's tapaculo
White-browed tapaculo
Dusky tapaculo
Paramillo tapaculo
Paramo tapaculo
Diademed tapaculo
Junin tapaculo
Bahian mouse-colored tapaculo
Sandy gallito
Stenostiridae fairy flycatchers
Yellow-bellied fantail
Fairy flycatcher
African blue flycatcher
White-tailed blue flycatcher
Dusky crested flycatcher
White-bellied crested flycatcher
White-tailed crested flycatcher
Citrine canary-flycatcher
Grey-headed canary-flycatcher
Richard's pipit
Paddyfield pipit
Australian pipit
New Zealand pipit
African pipit
Mountain pipit
Blyth's pipit
Tawny pipit
Long-billed pipit
Nicholson's pipit
Wood pipit
Buffy pipit
Plain-backed pipit
Long-legged pipit
Meadow pipit
Tree pipit
Olive-backed pipit
Pechora pipit
Rosy pipit
Red-throated pipit
Buff-bellied pipit
Water pipit
Eurasian rock pipit
Nilgiri pipit
Upland pipit
Berthelot's pipit
Striped pipit
African rock pipit
Short-tailed pipit
Bushveld pipit
Sokoke pipit
Malindi pipit
Yellow-breasted pipit
Alpine pipit
Sprague's pipit
Yellowish pipit
Peruvian pipit
Short-billed pipit
Puna pipit
Pampas pipit
Correndera pipit
South Georgia pipit
Ochre-breasted pipit
Hellmayr's pipit
Paramo pipit
Madanga
Sharpe's longclaw
Abyssinian longclaw
Fülleborn's longclaw
Cape longclaw
Yellow-throated longclaw
Pangani longclaw
Rosy-throated longclaw
Grimwood's longclaw
Forest wagtail
Golden pipit
Western yellow wagtail
Eastern yellow wagtail
Citrine wagtail
Cape wagtail
Madagascan wagtail
Grey wagtail
Mountain wagtail
White wagtail
African pied wagtail
Mekong wagtail
Japanese wagtail
White-browed wagtail
São Tomé shorttail
Macrosphenidae African warblers
Cape grassbird
Rockrunner
Moustached grass warbler
Victorin's warbler
Green crombec
Lemon-bellied crombec
White-browed crombec
Northern crombec
Philippa's crombec
Red-capped crombec
Red-faced crombec
Somali crombec
Long-billed crombec
Kemp's longbill
Yellow longbill
Grey longbill
Pulitzer's longbill
Kretschmer's longbill
Phylloscopidae leaf warblers
Wood warbler
Western Bonelli's warbler
Eastern Bonelli's warbler
Buff-barred warbler
Ashy-throated warbler
Hume's leaf warbler
Yellow-browed warbler
Brooks's leaf warbler
Chinese leaf warbler
Lemon-rumped warbler
Sichuan leaf warbler
Gansu leaf warbler
Pallas's leaf warbler
Tytler's leaf warbler
Yellow-streaked warbler
Radde's warbler
Sulphur-bellied warbler
Tickell's leaf warbler
Alpine leaf warbler
Smoky warbler
Dusky warbler
Plain leaf warbler
Buff-throated warbler
Willow warbler
Mountain chiffchaff
Canary Islands chiffchaff
Common chiffchaff
Iberian chiffchaff
Eastern crowned warbler
Ijima's leaf warbler
Philippine leaf warbler
Lemon-throated leaf warbler
Yellow-throated woodland warbler
Brown woodland warbler
Red-faced woodland warbler
Laura's woodland warbler
Black-capped woodland warbler
Uganda woodland warbler
White-spectacled warbler
Grey-cheeked warbler
Green-crowned warbler
Grey-crowned warbler
Whistler's warbler
Bianchi's warbler
Alström's warbler
Martens's warbler
Green warbler
Two-barred warbler
Greenish warbler
Emei leaf warbler
Large-billed leaf warbler
Sakhalin leaf warbler
Pale-legged leaf warbler
Japanese leaf warbler
Kamchatka leaf warbler
Arctic warbler
Chestnut-crowned warbler
Sunda warbler
Yellow-breasted warbler
Limestone leaf warbler
Sulphur-breasted warbler
Yellow-vented warbler
Western crowned warbler
Blyth's leaf warbler
Claudia's leaf warbler
Kloss's leaf warbler
Hainan leaf warbler
Davison's leaf warbler
Grey-hooded warbler
Mountain leaf warbler
Negros leaf warbler
Timor leaf warbler
Makira leaf warbler
Sulawesi leaf warbler
Kolombangara leaf warbler
Island leaf warbler
Numfor leaf warbler
Biak leaf warbler
Rote leaf warbler
Peleng leaf warbler
Taliabu leaf warbler
Locustellidae
Cordillera ground warbler
Sierra Madre ground warbler
Bicol ground warbler
Sakhalin grasshopper warbler
Gray's grasshopper warbler
Marsh grassbird
Pallas's grasshopper warbler
Styan's grasshopper warbler
Middendorff's grasshopper warbler
Lanceolated warbler
Brown bush warbler
Long-billed bush warbler
Common grasshopper warbler
Chinese bush warbler
Bamboo warbler
River warbler
Savi's warbler
Friendly bush warbler
Chestnut-backed bush warbler
Long-tailed bush warbler
Baikal bush warbler
Spotted bush warbler
West Himalayan bush warbler
Taiwan bush warbler
Russet bush warbler
Dalat bush warbler
Benguet bush warbler
Javan bush warbler
Sichuan bush warbler
Taliabu grasshopper warbler
Knysna warbler
Bangwa forest warbler
Barratt's warbler
Evergreen forest warbler
Cinnamon bracken warbler
Grey emutail
Brown emutail
Dja River scrub warbler
Little rush warbler
White-winged swamp warbler
Grauer's swamp warbler
Highland rush warbler
Sri Lanka bush warbler
Fly River grassbird
Spinifexbird
Chatham fernbird
New Zealand fernbird
Little grassbird
Broad-tailed grassbird
Bristled grassbird
Bougainville thicketbird
Brown songlark
Rufous songlark
Long-legged thicketbird
New Caledonian thicketbird
Rusty thicketbird
Melanesian thicketbird
New Britain thicketbird
Tawny grassbird
Buff-banded thicketbird
Papuan grassbird
Bernieridae Madagascan warbler
White-throated oxylabes
Long-billed bernieria
Cryptic warbler
Wedge-tailed jery
Thamnornis
Spectacled tetraka
Dusky tetraka
Grey-crowned tetraka
Appert's tetraka
Madagascan yellowbrow
Rand's warbler
Sylviidae
Fire-tailed myzornis
Abyssinian catbird
African hill babbler
Rwenzori hill babbler
Dohrn's thrush-babbler
Bush blackcap
Eurasian blackcap
Garden warbler
Barred warbler
Lesser whitethroat
Desert whitethroat
Hume's whitethroat
Western Orphean warbler
Eastern Orphean warbler
Arabian warbler
Asian desert warbler
African desert warbler
Common whitethroat
Dartford warbler
Marmora's warbler
Balearic warbler
Tristram's warbler
Spectacled warbler
Subalpine warbler
Moltoni's warbler
Sardinian warbler
Menetries's warbler
Rüppell's warbler
Cyprus warbler
Yemen warbler
Brown parisoma
Banded parisoma
Chestnut-vented warbler
Layard's warbler
Golden-breasted fulvetta
Rufous-tailed babbler
Spectacled fulvetta
Indochinese fulvetta
Chinese fulvetta
White-browed fulvetta
Grey-hooded fulvetta
Taiwan fulvetta
Manipur fulvetta
Brown-throated fulvetta
Yellow-eyed babbler
Jerdon's babbler
Beijing babbler
Tarim babbler
Wrentit
Great parrotbill
Three-toed parrotbill
Brown parrotbill
Spectacled parrotbill
Vinous-throated parrotbill
Ashy-throated parrotbill
Brown-winged parrotbill
Przevalski's parrotbill
Grey-hooded parrotbill
Fulvous parrotbill
Black-throated parrotbill
Golden parrotbill
Short-tailed parrotbill
Pale-billed parrotbill
Black-headed parrotbill
Grey-headed parrotbill
White-breasted parrotbill
Rufous-headed parrotbill
Spot-breasted parrotbill
Black-breasted parrotbill
Reed parrotbill
Moustached warbler
Aquatic warbler
Sedge warbler
Speckled reed warbler
Black-browed reed warbler
